Well,Well Position,Cq
1,A1,21.17775009
2,A2,25.4134415
3,A3,21.63450579
4,A4,33.20313351
5,A5,13.48569959
6,A6,28.6838755
7,A7,8.555882129
8,A8,18.25378508
9,A9,20.65730024
10,A10,33.64702253
11,A11,32.07759863
12,A12,25.45219493
13,B1,20.80799172
14,B2,21.61166779
15,B3,22.53432429
16,B4,33.21145072
17,B5,17.81010984
18,B6,24.7424317
19,B7,10.6573788
20,B8,24.70757718
21,B9,16.09930928
22,B10,34.04235207
23,B11,32.85863717
24,B12,32.17896301
25,C1,31.03877448
26,C2,26.51102373
27,C3,25.15845769
28,C4,33.12728388
29,C5,20.35429973
30,C6,17.69775771
31,C7,11.86519093
32,C8,32.15759263
33,C9,25.93410055
34,C10,33.4847817
35,C11,32.94294495
36,C12,32.25444884
37,D1,31.29421904
38,D2,25.39357769
39,D3,26.31177882
40,D4,33.56515728
41,D5,24.0854134
42,D6,20.13366618
43,D7,18.67968218
44,D8,11.26084472
45,D9,25.14897553
46,D10,34.35657882
47,D11,33.31429751
48,D12,33.20367884
49,E1,13.27918503
50,E2,32.79100316
51,E3,19.99144084
52,E4,36.56328542
53,E5,18.37287265
54,E6,32.6934848
55,E7,11.58987054
56,E8,14.83976987
57,E9,13.86338152
58,E10,33.90190324
59,E11,27.49115733
60,E12,15.69197706
61,F1,32.18618002
62,F2,14.94624446
63,F3,22.53344481
64,F4,36.7436746
65,F5,8.937091315
66,F6,32.27077262
67,F7,17.78792402
68,F8,32.61222911
69,F9,13.01194629
70,F10,34.07073777
71,F11,30.91307021
72,F12,10.83761665
73,G1,25.43177491
74,G2,32.92798814
75,G3,21.00372492
76,G4,36.28583374
77,G5,23.43645172
78,G6,31.76220154
79,G7,20.70146057
80,G8,22.61080186
81,G9,19.24494701
82,G10,34.47233605
83,G11,31.8304799
84,G12,24.13284552
85,H1,21.82625122
86,H2,22.71538601
87,H3,31.96254304
88,H4,36.87153263
89,H5,27.49860828
90,H6,30.87636603
91,H7,23.89894212
92,H8,30.37597716
93,H9,15.73692011
94,H10,34.39203716
95,H11,25.01968576
96,H12,21.93751333
