sample,observations,experiment_duration
control_pbs,0,0
control_pbs,0,15
control_pbs,0,30
control_pbs,0,60
control_pbs,0,75
control_pbs,4,90
control_pbs,4,105
control_pbs,4,120
aldicarb,0,0
aldicarb,0,15
aldicarb,0,30
aldicarb,0,45
aldicarb,14,60
aldicarb,14,75
aldicarb,49,90
aldicarb,49,105
aldicarb,49,120
metaborate,0,0
metaborate,0,15
metaborate,0,30
metaborate,0,45
metaborate,0,60
metaborate,0,75
metaborate,0,90
metaborate,0,105
metaborate,0,120
boric_acid,0,0
boric_acid,0,15
boric_acid,0,30
boric_acid,0,45
boric_acid,0,60
boric_acid,0,75
boric_acid,0,90
boric_acid,0,105
boric_acid,0,120
pb_no3,0,0
pb_no3,0,15
pb_no3,0,30
pb_no3,0,45
pb_no3,0,60
pb_no3,0,75
pb_no3,0,90
pb_no3,0,105
pb_no3,0,120
cd_cl2,0,0
cd_cl2,0,15
cd_cl2,0,30
cd_cl2,0,45
cd_cl2,0,60
cd_cl2,0,75
cd_cl2,0,90
cd_cl2,0,105
cd_cl2,0,120
ni_so4,0,0
ni_so4,0,15
ni_so4,0,30
ni_so4,0,45
ni_so4,0,60
ni_so4,0,75
ni_so4,0,90
ni_so4,0,105
ni_so4,0,120
