Time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,H1,H2,H3,H4,H5,H6,Group
00:00 ,-0.006,-0.001,-0.006,-0.005,-0.004,-0.005,-0.006,-0.006,-0.005,-0.006,-0.001,-0.006,-0.006,-0.006,-0.006,-0.006,-0.005,-0.006,-0.006,-0.006,-0.005,-0.005,-0.005,-0.004,0.079,0.022,0.011,0.007,0.002,0.002,0.354,0.058,0.019,0.025,0.012,0.03,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:01 ,-0.006,0.004,-0.006,-0.005,-0.003,-0.005,-0.005,-0.006,-0.005,-0.006,0,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.001,-0.006,-0.006,-0.005,-0.005,-0.006,-0.003,0.103,0.029,0.017,0.012,0.006,0.006,0.454,0.077,0.027,0.036,0.02,0.041,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:02 ,-0.006,0.007,-0.006,-0.003,-0.003,-0.005,0.003,-0.006,-0.006,-0.002,-0.001,-0.006,-0.007,-0.006,-0.006,-0.006,-0.006,0.004,-0.006,-0.004,-0.006,-0.005,-0.006,-0.002,0.128,0.037,0.023,0.017,0.009,0.01,0.552,0.098,0.035,0.049,0.029,0.059,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:03 ,-0.006,0.012,-0.006,-0.006,-0.003,-0.005,0.004,-0.007,-0.006,0.006,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.006,0.004,-0.006,0.007,-0.006,-0.005,-0.006,-0.001,0.157,0.047,0.029,0.022,0.013,0.015,0.66,0.121,0.047,0.063,0.039,0.079,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:04 ,-0.006,0.015,-0.005,-0.006,-0.003,-0.006,0.008,-0.007,-0.006,-0.006,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.006,0.003,-0.006,0.011,-0.006,-0.005,-0.006,-0.001,0.189,0.057,0.036,0.029,0.017,0.02,0.757,0.147,0.062,0.079,0.05,0.101,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:05 ,-0.006,0.016,-0.004,-0.006,0.007,-0.006,0.005,-0.007,-0.006,-0.006,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.006,0.002,-0.006,-0.004,-0.006,-0.005,-0.006,-0.002,0.224,0.068,0.043,0.035,0.022,0.026,0.878,0.177,0.074,0.098,0.062,0.125,-0.001,0.006,-0.001,-0.001,-0.001,-0.001,Group A
00:06 ,-0.006,0.012,-0.003,-0.006,0.003,-0.006,-0.001,-0.007,-0.006,-0.006,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.007,0.002,-0.006,-0.005,-0.006,-0.005,-0.006,-0.003,0.259,0.08,0.051,0.042,0.027,0.032,1.022,0.207,0.086,0.117,0.074,0.15,-0.001,0.006,-0.001,-0.002,-0.001,-0.001,Group A
00:07 ,-0.004,0.006,-0.001,-0.006,-0.002,-0.005,0.004,-0.007,-0.006,-0.007,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.006,0.002,-0.006,-0.007,-0.006,-0.005,-0.006,-0.004,0.297,0.092,0.06,0.05,0.032,0.038,1.145,0.238,0.098,0.136,0.087,0.176,-0.001,0.006,-0.001,-0.002,-0.001,-0.001,Group A
00:08 ,-0.003,0.005,-0.001,-0.006,-0.003,-0.006,0.008,-0.007,-0.005,-0.007,-0.001,-0.007,-0.007,-0.006,-0.006,-0.007,-0.007,0.002,-0.006,-0.007,-0.006,-0.005,-0.006,-0.006,0.336,0.105,0.068,0.057,0.037,0.044,1.26,0.27,0.111,0.155,0.1,0.202,-0.001,0.006,-0.001,-0.002,-0.001,-0.001,Group A
00:09 ,-0.003,0.009,-0.001,-0.006,0.001,-0.006,-0.002,-0.007,-0.005,-0.006,-0.001,-0.006,-0.007,-0.006,-0.006,-0.007,-0.006,0.002,-0.006,-0.006,-0.006,-0.005,-0.006,-0.006,0.377,0.118,0.077,0.065,0.043,0.051,1.386,0.301,0.125,0.174,0.114,0.23,-0.001,0.006,-0.001,-0.002,-0.001,-0.001,Group A
