Plate,A595,Fraction,A595 net BG,Dilution,StC (ug/ul) Red.
A04,2.06,1-Beta,1.675333333,1-1,2.3822
A05,2.226,1-Beta,1.841333333,1-1,2.6102
A06,1.892,1-Beta,1.507333333,1-1,2.1514
A07,0.404,3-Beta,0.019333333,1-100,0.1075
A08,0.388,3-Beta,0.003333333,1-100,0.0855
A09,0.378,3-Beta,-0.006666667,1-100,0.0717
A10,1.014,2-Lys,0.629333333,1-10,0.9454
A11,1.087,2-Lys,0.702333333,1-10,1.0457
A12,1.103,2-Lys,0.718333333,1-10,1.0676
B01,0.411,BSA,0.026333333,0.2,0.1171
B02,0.409,BSA,0.024333333,0.2,0.1143
B03,0.416,BSA,0.031333333,0.2,0.1239
B04,1.262,1-Beta,0.877333333,1-10,1.286
B05,1.286,1-Beta,0.901333333,1-10,1.319
B06,1.212,1-Beta,0.827333333,1-10,1.2174
B07,0.475,4-Beta,0.090333333,1-1,0.205
B08,0.414,4-Beta,0.029333333,1-1,0.1212
B09,0.415,4-Beta,0.030333333,1-1,0.1226
B10,0.583,2-Lys,0.198333333,1-100,0.3533
B11,0.617,2-Lys,0.232333333,1-100,0.4
B12,0.565,2-Lys,0.180333333,1-100,0.3286
C01,0.452,BSA,0.067333333,0.5,0.1734
C02,0.471,BSA,0.086333333,0.5,0.1995
C03,0.474,BSA,0.089333333,0.5,0.2036
C04,0.58,1-Beta,0.195333333,1-100,0.3492
C05,0.568,1-Beta,0.183333333,1-100,0.3327
C06,0.578,1-Beta,0.193333333,1-100,0.3465
C07,0.401,4-Beta,0.016333333,1-10,0.1033
C08,0.399,4-Beta,0.014333333,1-10,0.1006
C09,0.377,4-Beta,-0.007666667,1-10,0.0704
C10,1.089,3-Lys,0.704333333,1-1,1.0484
C11,1.058,3-Lys,0.673333333,1-1,1.0058
C12,1.078,3-Lys,0.693333333,1-1,1.0333
D01,0.514,BSA,0.129333333,1.0,0.2586
D02,0.536,BSA,0.151333333,1.0,0.2888
D03,0.543,BSA,0.158333333,1.0,0.2984
D04,1.674,2-Beta,1.289333333,1-1,1.852
D05,1.64,2-Beta,1.255333333,1-1,1.8053
D06,1.976,2-Beta,1.591333333,1-1,2.2668
D07,0.395,4-Beta,0.010333333,1-100,0.0951
D08,0.395,4-Beta,0.010333333,1-100,0.0951
D09,0.384,4-Beta,-0.000666667,1-100,0.08
D10,0.801,3-Lys,0.416333333,1-10,0.6528
D11,0.772,3-Lys,0.387333333,1-10,0.613
D12,0.764,3-Lys,0.379333333,1-10,0.602
E01,0.575,BSA,0.190333333,1.5,0.3424
E02,0.669,BSA,0.284333333,1.5,0.4715
E03,0.622,BSA,0.237333333,1.5,0.4069
E04,0.934,2-Beta,0.549333333,1-10,0.8355
E05,0.96,2-Beta,0.575333333,1-10,0.8712
E06,0.984,2-Beta,0.599333333,1-10,0.9042
E07,1.74,1-Lys,1.355333333,1-1,1.9426
E08,1.198,1-Lys,0.813333333,1-1,1.1981
E09,1.595,1-Lys,1.210333333,1-1,1.7435
E10,0.46,3-Lys,0.075333333,1-100,0.1844
E12,0.586,3-Lys,0.201333333,1-100,0.3575
F01,0.614,BSA,0.229333333,2.0,0.3959
F02,0.715,BSA,0.330333333,2.0,0.5347
F03,0.693,BSA,0.308333333,2.0,0.5044
F04,0.482,2-Beta,0.097333333,1-100,0.2146
F05,0.468,2-Beta,0.083333333,1-100,0.1954
F06,0.478,2-Beta,0.093333333,1-100,0.2091
F07,1.234,1-Lys,0.849333333,1-10,1.2476
F08,0.865,1-Lys,0.480333333,1-10,0.7407
F09,1.014,1-Lys,0.629333333,1-10,0.9454
F10,0.968,4-Lys,0.583333333,1-1,0.8822
F11,0.982,4-Lys,0.597333333,1-1,0.9014
F12,0.901,4-Lys,0.516333333,1-1,0.7902
G01,0.716,BSA,0.331333333,3.0,0.536
G02,0.803,BSA,0.418333333,3.0,0.6555
G03,0.816,BSA,0.431333333,3.0,0.6734
G04,0.39,3-Beta,0.005333333,1-1,0.0882
G05,0.383,3-Beta,-0.001666667,1-1,0.0786
G06,0.398,3-Beta,0.013333333,1-1,0.0992
G07,0.803,1-Lys,0.418333333,1-100,0.6555
G08,0.55,1-Lys,0.165333333,1-100,0.308
G09,0.632,1-Lys,0.247333333,1-100,0.4207
G10,0.791,4-Lys,0.406333333,1-10,0.6391
G11,0.836,4-Lys,0.451333333,1-10,0.7009
G12,0.723,4-Lys,0.338333333,1-10,0.5457
H04,0.386,3-Beta,0.001333333,1-10,0.0827
H05,0.386,3-Beta,0.001333333,1-10,0.0827
H06,0.385,3-Beta,0.000333333,1-10,0.0814
H07,1.691,2-Lys,1.306333333,1-1,1.8753
H08,1.373,2-Lys,0.988333333,1-1,1.4385
H09,1.714,2-Lys,1.329333333,1-1,1.9069
H10,0.698,4-Lys,0.313333333,1-100,0.5113
H11,0.641,4-Lys,0.256333333,1-100,0.433
H12,0.597,4-Lys,0.212333333,1-100,0.3726
